what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727187439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727191254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727191348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727201007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727202167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727202525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727204874
closed,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1362727204893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727213339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727218184
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362727218210
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1362727220107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727226288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727227240
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362727227249
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1362727228377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362727284612
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1362727285062
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1362727289326
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1362727290948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362727290975
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1362727293723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727302257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727306859
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1362727306908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1362727306908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1362727306909
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1362727312563
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362727312595
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1362727315194
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1362727319136
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362727321827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727350050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727351882
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1362727353885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727372581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727378106
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362727382161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362727384328
